wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
WK001400,Centrum,2002,4.131519995884998,0.02925514474131304,NA,NA,NA,NA,NA
WK001400,Centrum,2008,4.193557924826729,0.0912930736830444,NA,NA,NA,NA,NA
WK001400,Centrum,2012,4.223619977074176,0.12135512593049028,NA,NA,NA,NA,NA
WK001400,Centrum,2014,4.21829228838692,0.11602743724323462,0.025319426920036525,-0.10912796129673644,-0.03667328965266054,0.22002640966868386,0.016482851603910907
WK001400,Centrum,2016,4.271479714696705,0.16921486355301937,NA,NA,NA,NA,NA
WK001400,Centrum,2018,4.2620291441103815,0.15976429296669586,0.026664397326870034,-0.09026860099158325,-0.03776940633474795,0.2529130177043137,0.008224885261843047
WK001400,Centrum,2020,4.288815740118487,0.18655088897480157,0.02541646521218458,-0.07387398255228587,-0.0366994835261813,0.2696196686375036,0.0020882212035803556
WK001400,Centrum,2022,4.28741697203907,0.18515212089538463,0.02887208611519061,-0.0872510410278506,-0.042043049927552326,0.2808265769471574,0.004747548788439204
WK001401,Oud-Zuid,2002,4.077415908071407,-0.02484894307227799,NA,NA,NA,NA,NA
WK001401,Oud-Zuid,2008,4.132962193035108,0.03069734189142311,NA,NA,NA,NA,NA
WK001401,Oud-Zuid,2012,4.159419770977992,0.057154919834307094,NA,NA,NA,NA,NA
WK001401,Oud-Zuid,2014,4.17102800719409,0.0687631560504052,0.006474978401164278,-0.017859168235467657,-0.03673274104560116,0.15028546527697434,-0.03340537834666486
WK001401,Oud-Zuid,2016,4.17530365802372,0.07303880688003554,NA,NA,NA,NA,NA
WK001401,Oud-Zuid,2018,4.195932826393573,0.0936679752498873,0.0075073360581935575,-0.00892454616933878,-0.039959031389989755,0.16422086163786098,-0.02917664488683899
WK001401,Oud-Zuid,2020,4.231462477600446,0.1291976264567612,0.00678986065337926,9.064389289123598e-5,-0.045529274502967405,0.17730527115765807,-0.009458874744200261
WK001401,Oud-Zuid,2022,4.226063764111776,0.12379891296809149,0.009033819528541898,2.443242627397777e-4,-0.0409613324644146,0.1718430372329615,-0.016360935591737315
WK001402,Oud-West,2002,4.1015414966015715,-7.233545421137104e-4,NA,NA,NA,NA,NA
WK001402,Oud-West,2008,4.158685936077335,0.05642108493364955,NA,NA,NA,NA,NA
WK001402,Oud-West,2012,4.189451984917924,0.0871871337742393,NA,NA,NA,NA,NA
WK001402,Oud-West,2014,4.195755991626582,0.09349114048289646,0.018119601439343724,-0.024101681940219215,-0.04484157717264398,0.13129678974146003,0.013018008414955613
WK001402,Oud-West,2016,4.217786003760428,0.11552115261674242,NA,NA,NA,NA,NA
WK001402,Oud-West,2018,4.207192061948122,0.10492721080443711,0.021952681456920486,-0.022290703576158036,-0.04719126369336555,0.142819366132382,0.009637130484657905
WK001402,Oud-West,2020,4.226043706672487,0.12377885552880262,0.017226647239502946,-0.020146365728065628,-0.04785234015702888,0.15559882869230543,0.018952085482088505
WK001402,Oud-West,2022,4.223437478377736,0.12117262723405116,0.02158094286256855,-0.014384219874884875,-0.04936251883264693,0.15133782228226048,0.012000600796753693
WK001403,Oud-Noord,2002,3.8898121274031188,-0.21245272374056673,NA,NA,NA,NA,NA
WK001403,Oud-Noord,2008,3.9606148947571644,-0.14164995638652086,NA,NA,NA,NA,NA
WK001403,Oud-Noord,2012,3.9821097817200664,-0.12015506942361835,NA,NA,NA,NA,NA
WK001403,Oud-Noord,2014,3.977657515670404,-0.12460733547328105,0.019743698708653497,-0.1288576708406605,-0.06577549792126913,0.10387539909031884,-0.05359326451032404
WK001403,Oud-Noord,2016,4.013265724246856,-0.08899912689682939,NA,NA,NA,NA,NA
WK001403,Oud-Noord,2018,4.021738585049144,-0.0805262660945413,0.014939303836698272,-0.09937308646539875,-0.06876625487199961,0.11151702727738484,-0.038843255871226355
WK001403,Oud-Noord,2020,4.059319170803288,-0.04294568034039687,0.007115929251604364,-0.08329196585886453,-0.07063629676879443,0.11806709687975048,-0.014200443844093013
WK001403,Oud-Noord,2022,4.0655293340186365,-0.036735517125048724,0.014001623608522392,-0.07955390673992617,-0.06454456553799992,0.12167240472680362,-0.02831107318244892
WK001404,Oosterparkwijk,2002,3.9872482957835564,-0.11501655536012867,NA,NA,NA,NA,NA
WK001404,Oosterparkwijk,2008,4.060029154495763,-0.04223569664792208,NA,NA,NA,NA,NA
WK001404,Oosterparkwijk,2012,4.08148059601383,-0.02078425512985466,NA,NA,NA,NA,NA
WK001404,Oosterparkwijk,2014,4.090555398670238,-0.011709452473446768,0.02363319305847178,-0.08346444455025351,-0.05188829282281066,0.12590849338809298,-0.02589840154694764
WK001404,Oosterparkwijk,2016,4.114731415701808,0.012466564558122721,NA,NA,NA,NA,NA
WK001404,Oosterparkwijk,2018,4.093733746055624,-0.008531105088061045,0.025020683746654497,-0.08235053048476432,-0.04765392278153197,0.1231730453585422,-0.02672038092696174
WK001404,Oosterparkwijk,2020,4.133712912486367,0.0314480613426823,0.016297098721139408,-0.06238311050934668,-0.04293170272903605,0.12803441470443305,-0.007568638844507677
WK001404,Oosterparkwijk,2022,4.130213714300525,0.027948863156839816,0.024799326010055914,-0.06097450790740749,-0.04151378031509708,0.13447528275403522,-0.028837457384747005
